Date,Apple_Price,Apple_Vol.
03/20/2023,$157.40,73641420
03/17/2023,$155.00,98944630
03/16/2023,$155.85,76254420
03/15/2023,$152.99,77167870
03/14/2023,$152.59,73695890
03/13/2023,$150.47,84457120
03/10/2023,$148.50,68572400
03/09/2023,$150.59,53833580
03/08/2023,$152.87,47204790
03/07/2023,$151.60,56182030
03/06/2023,$153.83,87558030
03/03/2023,$151.03,70732300
03/02/2023,$145.91,52279760
03/01/2023,$145.31,55478990
02/28/2023,$147.41,50547000
02/27/2023,$147.92,44998470
02/24/2023,$146.71,55469610
02/23/2023,$149.40,48394250
02/22/2023,$148.91,51011310
02/21/2023,$148.48,58867230
02/17/2023,$152.55,59144120
02/16/2023,$153.71,68167940
02/15/2023,$155.33,65669250
02/14/2023,$153.20,61707570
02/13/2023,$153.85,62199010
02/10/2023,$151.01,57450710
02/09/2023,$150.87,56007140
02/08/2023,$151.92,64120080
02/07/2023,$154.65,83322550
02/06/2023,$151.73,69858310
02/03/2023,$154.50,154357300
02/02/2023,$150.82,118339000
02/01/2023,$145.43,77663630
01/31/2023,$144.29,65874460
01/30/2023,$143.00,64015270
01/27/2023,$145.93,70555840
01/26/2023,$143.96,54105070
01/25/2023,$141.86,65799350
01/24/2023,$142.53,66435140
01/23/2023,$141.11,81760310
01/20/2023,$137.87,80223630
01/19/2023,$135.27,58280410
01/18/2023,$135.21,69672800
01/17/2023,$135.94,63646630
01/13/2023,$134.76,57809720
01/12/2023,$133.41,71379650
01/11/2023,$133.49,69458950
01/10/2023,$130.73,63896160
01/09/2023,$130.15,70790810
01/06/2023,$129.62,87754720
01/05/2023,$125.02,80962710
01/04/2023,$126.36,89113630
01/03/2023,$125.07,112117500
12/30/2022,$129.93,77034210
12/29/2022,$129.61,75703710
12/28/2022,$126.04,85438390
12/27/2022,$130.03,69007830
12/23/2022,$131.86,63814890
12/22/2022,$132.23,77852110
12/21/2022,$135.45,85927990
12/20/2022,$132.30,77432820
12/19/2022,$132.37,79592610
12/16/2022,$134.51,160156900
12/15/2022,$136.50,98931910
12/14/2022,$143.21,82291180
12/13/2022,$145.47,93886160
12/12/2022,$144.49,70462650
12/09/2022,$142.16,76097010
12/08/2022,$142.65,62128340
12/07/2022,$140.94,69721090
12/06/2022,$142.91,64727190
12/05/2022,$146.63,68826440
12/02/2022,$147.81,65447450
12/01/2022,$148.31,71250420
11/30/2022,$148.03,111380900
11/29/2022,$141.17,83763800
11/28/2022,$144.22,69346520
11/25/2022,$148.11,35195860
11/23/2022,$151.07,58301400
11/22/2022,$150.18,51804130
11/21/2022,$148.01,58724070
11/18/2022,$151.29,74829570
11/17/2022,$150.72,80389400
11/16/2022,$148.79,64218270
11/15/2022,$150.04,89868330
11/14/2022,$148.28,73374110
11/11/2022,$149.70,93979670
11/10/2022,$146.87,118854000
11/09/2022,$134.87,74917790
11/08/2022,$139.50,89908480
11/07/2022,$138.92,83374630
11/04/2022,$138.38,140814800
11/03/2022,$138.88,97918520
11/02/2022,$145.03,93604620
11/01/2022,$150.65,80379350
10/31/2022,$153.34,97943170
10/28/2022,$155.74,164762400
10/27/2022,$144.80,109180200
10/26/2022,$149.35,88436170
10/25/2022,$152.34,74732290
10/24/2022,$149.45,75981920
10/21/2022,$147.27,86548610
10/20/2022,$143.39,64521990
10/19/2022,$143.86,61758340
10/18/2022,$143.75,99136610
10/17/2022,$142.41,85250940
10/14/2022,$138.38,88597970
10/13/2022,$142.99,113224000
10/12/2022,$138.34,70433740
10/11/2022,$138.98,77033670
10/10/2022,$140.42,74899000
10/07/2022,$140.09,85925560
10/06/2022,$145.43,68402170
10/05/2022,$146.40,79470970
10/04/2022,$146.10,87830060
10/03/2022,$142.45,114311700
09/30/2022,$138.20,124925300
09/29/2022,$142.48,128138200
09/28/2022,$149.84,146691400
09/27/2022,$151.76,84442740
09/26/2022,$150.77,93339410
09/23/2022,$150.43,96029910
09/22/2022,$152.74,86652540
09/21/2022,$153.72,101696800
09/20/2022,$156.90,107689800
09/19/2022,$154.48,81474250
09/16/2022,$150.70,162278800
09/15/2022,$152.37,90481110
09/14/2022,$155.31,87965410
09/13/2022,$153.84,122656600
09/12/2022,$163.43,104956000
09/09/2022,$157.37,68081010
09/08/2022,$154.46,84923850
09/07/2022,$155.96,87449570
09/06/2022,$154.53,73714840
09/02/2022,$155.81,76957770
09/01/2022,$157.96,74229900
08/31/2022,$157.22,87991090
08/30/2022,$158.91,77906200
08/29/2022,$161.38,73313950
08/26/2022,$163.62,78960980
08/25/2022,$170.03,51218210
08/24/2022,$167.53,53841520
08/23/2022,$167.23,54147080
08/22/2022,$167.57,69026810
08/19/2022,$171.52,70346300
08/18/2022,$174.15,62290080
08/17/2022,$174.55,79542040
08/16/2022,$173.03,56377050
08/15/2022,$173.19,54091690
08/12/2022,$172.10,68039380
08/11/2022,$168.49,57149160
08/10/2022,$169.24,70170540
08/09/2022,$164.92,63135500
08/08/2022,$164.87,60362340
08/05/2022,$165.35,56696990
08/04/2022,$165.81,55474140
08/03/2022,$166.13,82507490
08/02/2022,$160.01,59907030
08/01/2022,$161.51,67829380
07/29/2022,$162.51,101786900
07/28/2022,$157.35,81378730
07/27/2022,$156.79,78620690
07/26/2022,$151.60,55138690
07/25/2022,$152.95,53623950
07/22/2022,$154.09,66675410
07/21/2022,$155.35,65086640
07/20/2022,$153.04,64823410
07/19/2022,$151.00,82982370
07/18/2022,$147.07,81420870
07/15/2022,$150.17,76259930
07/14/2022,$148.47,78140740
07/13/2022,$145.49,71185560
07/12/2022,$145.86,77588760
07/11/2022,$144.87,63305110
07/08/2022,$147.04,64547800
07/07/2022,$146.35,66253710
07/06/2022,$142.92,74064250
07/05/2022,$141.56,73429640
07/01/2022,$138.93,71051550
06/30/2022,$136.72,98964470
06/29/2022,$139.23,66242410
06/28/2022,$137.44,67315330
06/27/2022,$141.66,70207910
06/24/2022,$141.66,89116840
06/23/2022,$138.27,72433770
06/22/2022,$135.35,73409230
06/21/2022,$135.87,81000490
06/17/2022,$131.56,134520300
06/16/2022,$130.06,107961500
06/15/2022,$135.43,91532970
06/14/2022,$132.76,84784330
06/13/2022,$131.88,122207100
06/10/2022,$137.13,91566640
06/09/2022,$142.64,69472980
06/08/2022,$147.96,53950200
06/07/2022,$148.71,67808150
06/06/2022,$146.14,71598380
06/03/2022,$145.38,88570290
06/02/2022,$151.21,72348060
06/01/2022,$148.71,74286640
05/31/2022,$148.84,103718400
05/27/2022,$149.64,90978500
05/26/2022,$143.78,90601550
05/25/2022,$140.52,92482700
05/24/2022,$140.36,104132700
05/23/2022,$143.11,117726300
05/20/2022,$137.59,137426100
05/19/2022,$137.35,136095600
05/18/2022,$140.82,109742900
05/17/2022,$149.24,78336250
05/16/2022,$145.54,86643780
05/13/2022,$147.11,113990900
05/12/2022,$142.56,182602000
05/11/2022,$146.50,142689800
05/10/2022,$154.51,115366700
05/09/2022,$152.06,131577900
05/06/2022,$157.28,116124600
05/05/2022,$156.77,130525300
05/04/2022,$166.02,108256500
05/03/2022,$159.48,88966530
05/02/2022,$157.96,123055300
04/29/2022,$157.65,131747600
04/28/2022,$163.64,130216800
04/27/2022,$156.57,88063190
04/26/2022,$156.80,95623240
04/25/2022,$162.88,96046380
04/22/2022,$161.79,84882420
04/21/2022,$166.42,87227770
04/20/2022,$167.23,67929810
04/19/2022,$167.40,67723830
04/18/2022,$165.07,69023940
04/14/2022,$165.29,75329380
04/13/2022,$170.40,70618930
04/12/2022,$167.66,79265180
04/11/2022,$165.75,72246710
04/08/2022,$170.09,76575510
04/07/2022,$172.14,77594650
04/06/2022,$171.83,89058780
04/05/2022,$175.06,73401790
04/04/2022,$178.44,76545980
04/01/2022,$174.31,78751330
03/31/2022,$174.61,103049300
03/30/2022,$177.77,92633150
03/29/2022,$178.96,100589400
03/28/2022,$175.60,90371920
03/25/2022,$174.72,80546160
03/24/2022,$174.07,90131420
03/23/2022,$170.21,98062670
03/22/2022,$168.82,81532010
03/21/2022,$165.38,95811350
03/18/2022,$163.98,123511700
03/17/2022,$160.62,75615380
